Date,Tournament,W/L,Side,Vs_Team,Game_Length,Champion,Vs_Champion,Kills,Deaths,Assists,KDA,Spells,CS,Delta_CS,Items,Date_parsed,tournaments_played,date,blue_side_team,red_side_team,winner,blue_side_bans,red_side_bans,blue_side_picks,red_side_picks,blue_side_roster,red_side_roster,tournament_curr_total_games,tournament_curr_wins,tournament_curr_losses,tournament_curr_win_percentage,tournament_type,teams_region,teammate_role_top,teammate_role_jungle,teammate_role_mid,teammate_role_adc,teammate_role_support,enemy_role_top,enemy_role_jungle,enemy_role_mid,enemy_role_adc,enemy_role_support,bans,teammate_top_champion,teammate_jungle_champion,teammate_mid_champion,teammate_adc_champion,teammate_support_champion,opponent_top_champion,opponent_jungle_champion,opponent_mid_champion,opponent_adc_champion,opponent_support_champion,teammate_top_ign,teammate_jungle_ign,teammate_mid_ign,teammate_adc_ign,teammate_support_ign,opponent_top_ign,opponent_jungle_ign,opponent_mid_ign,opponent_adc_ign,opponent_support_ign
2015-04-24 13:40:00,"Korea,Champions 2015 Spring Playoffs",Win,Blue,CJ Entus,33:24,LeBlanc,Azir,15,1,10,25.0,"Ignite,Flash",275,+82,"Zhonya's Hourglass,Morellonomicon,Rabadon's Deathcap,Void Staff,Needlessly Large Rod,Sorcerer's Shoes Sweeping Lens ",2015-04-24 13:40:00,13,2015-04-24 13:40:00,SK Telecom T1,CJ Entus,SK Telecom T1,"None,None,None","None,None,None","Maokai,Rek'Sai,LeBlanc,Kalista,Thresh","Shyvana,Gragas,Azir,Urgot,Nautilus","MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan)","Shy,Ambition,Coco,Space,MadLife",2,2,0,1.0,Playoffs,Korea,Vanguard,Diver,Burst,Nimble,Catcher,Juggernaut,Vanguard,Battlemage,Juggernaut,Vanguard,"None,None,None,None,None,None",Maokai,Rek'Sai,LeBlanc,Kalista,Thresh,Shyvana,Gragas,Azir,Urgot,Nautilus,MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan),Shy,Ambition,Coco,Space,MadLife
2015-05-07 21:17:00,"International,MSI 2015",Win,Red,Beşiktaş Esports,26:22,Azir,Lulu,5,1,8,13.0,"Cleanse,Flash",231,+84,"Zhonya's Hourglass,Morellonomicon,Sorcerer's Shoes,Rabadon's Deathcap,,Vision Ward Sweeping Lens    ",2015-05-07 21:17:00,13,2015-05-07 21:17:00,Beikta Esports,SK Telecom T1,SK Telecom T1,"Urgot,Kalista,LeBlanc","Ahri,Hecarim,Morgana","Gnar,Sejuani,Lulu,Sivir,Janna","Rumble,Rek'Sai,Azir,Lucian,Thresh","Thaldrin,Theokoles,Energy,Nardeus,Dumbledoge","MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan)",3,3,0,1.0,International,Turkey,Battlemage,Diver,Battlemage,Nimble,Catcher,Vanguard,Vanguard,Enchanter,Nimble,Enchanter,"Ahri,Hecarim,Kalista,LeBlanc,Morgana,Urgot",Rumble,Rek'Sai,Azir,Lucian,Thresh,Gnar,Sejuani,Lulu,Sivir,Janna,MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan),Thaldrin,Theokoles,Energy,Nardeus,Dumbledoge
2015-05-08 22:49:00,"International,MSI 2015",Win,Blue,Fnatic,44:05,Lulu,Cassiopeia,4,4,11,3.75,"Ignite,Flash",337,+40,"Doran's Ring,Athene's Unholy Grail,Sorcerer's Shoes,Rabadon's Deathcap,Void Staff,Lich Bane Greater Stealth Totem   ",2015-05-08 22:49:00,14,2015-05-08 22:49:00,SK Telecom T1,Fnatic,SK Telecom T1,"Urgot,Hecarim,Gragas","LeBlanc,Kalista,Rek'Sai","Rumble,Nunu,Lulu,Lucian,Alistar","Gnar,Sejuani,Cassiopeia,Sivir,Nautilus","MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan)","Huni,Reignover,Febiven,Steeelback,YellOwStaR",0,0,0,0.0,International,Europe,Battlemage,Vanguard,Enchanter,Nimble,Vanguard,Vanguard,Vanguard,Battlemage,Nimble,Vanguard,"Gragas,Hecarim,Kalista,LeBlanc,Rek'Sai,Urgot",Rumble,Nunu,Lulu,Lucian,Alistar,Gnar,Sejuani,Cassiopeia,Sivir,Nautilus,MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan),Huni,Reignover,Febiven,Steeelback,YellOwStaR
2015-05-09 03:31:00,"International,MSI 2015",Win,Blue,TSM,30:57,Cassiopeia,Ziggs,6,1,4,10.0,"Ghost,Flash",314,+79,"Seraph's Embrace,Needlessly Large Rod,Sorcerer's Shoes - Distortion,Void Staff,Abyssal Scepter,Blasting Wand Sweeping Lens  ",2015-05-09 03:31:00,14,2015-05-09 03:31:00,SK Telecom T1,TSM,SK Telecom T1,"Sion,Maokai,Lulu","Rumble,LeBlanc,Sejuani","Gnar,Rek'Sai,Cassiopeia,Urgot,Alistar","Hecarim,Gragas,Ziggs,Kalista,Thresh","MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan)","Dyrus,Santorin,Bjergsen,WildTurtle,Lustboy",1,1,0,1.0,International,North America,Vanguard,Diver,Battlemage,Juggernaut,Vanguard,Diver,Vanguard,Artillery,Nimble,Catcher,"LeBlanc,Lulu,Maokai,Rumble,Sejuani,Sion",Gnar,Rek'Sai,Cassiopeia,Urgot,Alistar,Hecarim,Gragas,Ziggs,Kalista,Thresh,MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan),Dyrus,Santorin,Bjergsen,WildTurtle,Lustboy
2015-05-09 20:00:00,"International,MSI 2015",Win,Blue,Fnatic,32:35,Ezreal,LeBlanc,2,1,14,16.0,"Barrier,Flash",303,+62,"Muramana,Doran's Blade,Ionian Boots of Lucidity,Trinity Force (0.9.25.21 - 10.22),The Bloodthirster,Long Sword Sweeping Lens    ",2015-05-09 20:00:00,14,2015-05-09 20:00:00,SK Telecom T1,Fnatic,SK Telecom T1,"Nautilus,Cassiopeia,Urgot","Lulu,Azir,Kalista","Maokai,Rek'Sai,Ezreal,Corki,Thresh","Hecarim,Gragas,LeBlanc,Sivir,Alistar","MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan)","Huni,Reignover,Febiven,Steeelback,YellOwStaR",2,2,0,1.0,International,Europe,Vanguard,Diver,Nimble,Artillery,Catcher,Diver,Vanguard,Burst,Nimble,Vanguard,"Azir,Cassiopeia,Kalista,Lulu,Nautilus,Urgot",Maokai,Rek'Sai,Ezreal,Corki,Thresh,Hecarim,Gragas,LeBlanc,Sivir,Alistar,MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan),Huni,Reignover,Febiven,Steeelback,YellOwStaR
2015-05-09 21:01:00,"International,MSI 2015",Loss,Red,Fnatic,38:10,Ahri,LeBlanc,2,4,4,1.5,"Ignite,Flash",314,-15,"Crystalline Flask,Luden's Echo,Morellonomicon,Abyssal Scepter,Sorcerer's Shoes - Homeguard,Void Staff Sweeping Lens ",2015-05-09 21:01:00,14,2015-05-09 21:01:00,Fnatic,SK Telecom T1,Fnatic,"Lulu,Maokai,Kalista","Cassiopeia,Hecarim,Nautilus","Rumble,Gragas,LeBlanc,Urgot,Annie","Gnar,Rek'Sai,Ahri,Sivir,Thresh","Huni,Reignover,Febiven,Steeelback,YellOwStaR","MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan)",3,3,0,1.0,International,Europe,Vanguard,Diver,Burst,Nimble,Catcher,Battlemage,Vanguard,Burst,Juggernaut,Burst,"Cassiopeia,Hecarim,Kalista,Lulu,Maokai,Nautilus",Gnar,Rek'Sai,Ahri,Sivir,Thresh,Rumble,Gragas,LeBlanc,Urgot,Annie,MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan),Huni,Reignover,Febiven,Steeelback,YellOwStaR
2015-05-09 22:01:00,"International,MSI 2015",Win,Blue,Fnatic,36:29,Azir,Zed,5,2,5,5.0,"Barrier,Flash",320,+28,"Zhonya's Hourglass,Morellonomicon,Rabadon's Deathcap,Sorcerer's Shoes,Blasting Wand,Doran's Ring Sweeping Lens  ",2015-05-09 22:01:00,14,2015-05-09 22:01:00,SK Telecom T1,Fnatic,SK Telecom T1,"Annie,Nautilus,Urgot","Lulu,LeBlanc,Kalista","Maokai,Rek'Sai,Azir,Ezreal,Alistar","Cassiopeia,Gragas,Zed,Sivir,Leona","MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan)","Huni,Reignover,Febiven,Steeelback,YellOwStaR",4,3,1,0.75,International,Europe,Vanguard,Diver,Battlemage,Nimble,Vanguard,Battlemage,Vanguard,Assassin,Nimble,Vanguard,"Annie,Kalista,LeBlanc,Lulu,Nautilus,Urgot",Maokai,Rek'Sai,Azir,Ezreal,Alistar,Cassiopeia,Gragas,Zed,Sivir,Leona,MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan),Huni,Reignover,Febiven,Steeelback,YellOwStaR
2015-05-09 23:11:00,"International,MSI 2015",Loss,Red,Fnatic,36:18,Azir,Cassiopeia,5,3,2,2.33,"Cleanse,Flash",302,+4,"Zhonya's Hourglass,Morellonomicon,Doran's Ring,Sorcerer's Shoes - Homeguard,Void Staff,Blasting Wand Sweeping Lens  ",2015-05-09 23:11:00,14,2015-05-09 23:11:00,Fnatic,SK Telecom T1,Fnatic,"Lulu,Maokai,Gragas","Urgot,Kalista,LeBlanc","Hecarim,Rek'Sai,Cassiopeia,Lucian,Leona","Rumble,Sejuani,Azir,Sivir,Alistar","Huni,Reignover,Febiven,Steeelback,YellOwStaR","MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan)",5,4,1,0.8,International,Europe,Battlemage,Vanguard,Battlemage,Nimble,Vanguard,Diver,Diver,Battlemage,Nimble,Vanguard,"Gragas,Kalista,LeBlanc,Lulu,Maokai,Urgot",Rumble,Sejuani,Azir,Sivir,Alistar,Hecarim,Rek'Sai,Cassiopeia,Lucian,Leona,MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan),Huni,Reignover,Febiven,Steeelback,YellOwStaR
2015-05-11 00:10:00,"International,MSI 2015",Win,Blue,Fnatic,37:48,Cassiopeia,Ahri,5,2,5,5.0,"Cleanse,Flash",356,+87,"Seraph's Embrace,Negatron Cloak,Abyssal Scepter,Sorcerer's Shoes - Homeguard,Rabadon's Deathcap,Void Staff Sweeping Lens    ",2015-05-11 00:10:00,14,2015-05-11 00:10:00,SK Telecom T1,Fnatic,SK Telecom T1,"Hecarim,Rek'Sai,LeBlanc","Lulu,Maokai,Kalista","Gnar,Nunu,Cassiopeia,Urgot,Alistar","Rumble,Gragas,Ahri,Sivir,Nautilus","MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan)","Huni,Reignover,Febiven,Steeelback,YellOwStaR",6,4,2,0.6667,International,Europe,Vanguard,Vanguard,Battlemage,Juggernaut,Vanguard,Battlemage,Vanguard,Burst,Nimble,Vanguard,"Hecarim,Kalista,LeBlanc,Lulu,Maokai,Rek'Sai",Gnar,Nunu,Cassiopeia,Urgot,Alistar,Rumble,Gragas,Ahri,Sivir,Nautilus,MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan),Huni,Reignover,Febiven,Steeelback,YellOwStaR
2015-05-12 00:57:00,"International,MSI 2015",Win,Red,EDward Gaming,36:45,Kassadin,Azir,6,0,12,18.0,"Ignite,Flash",275,-25,"Zhonya's Hourglass,Rod of Ages,Rabadon's Deathcap,Sorcerer's Shoes,Amplifying Tome,Blasting Wand Sweeping Lens  ",2015-05-12 00:57:00,14,2015-05-12 00:57:00,EDward Gaming,SK Telecom T1,SK Telecom T1,"Kalista,Cassiopeia,Urgot","LeBlanc,Rek'Sai,Jinx","Maokai,Nunu,Azir,Corki,Annie","Gnar,Gragas,Kassadin,Ezreal,Alistar","Koro1,Clearlove,PawN,Deft,Meiko","MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan)",7,5,2,0.7143,International,China,Vanguard,Vanguard,Assassin,Nimble,Vanguard,Vanguard,Vanguard,Battlemage,Artillery,Burst,"Cassiopeia,Jinx,Kalista,LeBlanc,Rek'Sai,Urgot",Gnar,Gragas,Kassadin,Ezreal,Alistar,Maokai,Nunu,Azir,Corki,Annie,MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan),Koro1,Clearlove,PawN,Deft,Meiko
2015-05-12 01:59:00,"International,MSI 2015",Loss,Blue,EDward Gaming,37:38,LeBlanc,Morgana,4,2,3,3.5,"Cleanse,Flash",296,+55,"Doran's Ring,Morellonomicon,Sorcerer's Shoes - Homeguard,Mejai's Soulstealer,Void Staff,Rabadon's Deathcap Sweeping Lens    ",2015-05-12 01:59:00,14,2015-05-12 01:59:00,SK Telecom T1,EDward Gaming,EDward Gaming,"Hecarim,Rek'Sai,Jinx","Kalista,Gragas,Cassiopeia","Gnar,Nunu,LeBlanc,Urgot,Nautilus","Maokai,Evelynn,Morgana,Sivir,Alistar","MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan)","Koro1,Clearlove,PawN,Deft,Meiko",8,6,2,0.75,International,China,Vanguard,Vanguard,Burst,Juggernaut,Vanguard,Vanguard,Assassin,Catcher,Nimble,Vanguard,"Cassiopeia,Gragas,Hecarim,Jinx,Kalista,Rek'Sai",Gnar,Nunu,LeBlanc,Urgot,Nautilus,Maokai,Evelynn,Morgana,Sivir,Alistar,MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan),Koro1,Clearlove,PawN,Deft,Meiko
2015-05-23 09:00:00,"Korea,Champions 2015 Summer",Win,Red,SBENU Sonicboom,24:55,Ezreal,Lulu,4,2,8,6.0,"Heal,Flash",228,+70,"Trinity Force,Manamune,Ionian Boots of Lucidity,Vampiric Scepter,Doran's Blade,Vision Ward Greater Stealth Totem    ",2015-05-23 09:00:00,14,2015-05-23 09:00:00,SBENU Sonicboom,SK Telecom T1,SK Telecom T1,"Cassiopeia,LeBlanc,Rek'Sai","Maokai,Gragas,Kalista","Kennen,Sejuani,Lulu,Sivir,Nautilus","Rumble,Nunu,Ezreal,Lucian,Alistar","Soul (Seo Hyeon-seok),Catch (Yun Sang-ho),SaSin,Nuclear,Secret","MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan)",9,6,3,0.6667,Regular Season,Korea,Battlemage,Vanguard,Nimble,Nimble,Vanguard,Diver,Vanguard,Enchanter,Nimble,Vanguard,"Cassiopeia,Gragas,Kalista,LeBlanc,Maokai,Rek'Sai",Rumble,Nunu,Ezreal,Lucian,Alistar,Kennen,Sejuani,Lulu,Sivir,Nautilus,MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan),Soul (Seo Hyeon-seok),Catch (Yun Sang-ho),SaSin,Nuclear,Secret
2015-05-29 08:00:00,"Korea,Champions 2015 Summer",Win,Red,NaJin e-mFire,35:16,Cassiopeia,Ahri,4,0,5,9.0,"Cleanse,Flash",312,+60,"Rabadon's Deathcap,Luden's Echo,Seraph's Embrace,Void Staff,Mercury's Treads,Doran's Ring Sweeping Lens ",2015-05-29 08:00:00,15,2015-05-29 08:00:00,NaJin e-mFire,SK Telecom T1,SK Telecom T1,"Varus,Azir,LeBlanc","Kalista,Gragas,Nautilus","Maokai,Sejuani,Ahri,Vayne,Nunu","Rumble,Rek'Sai,Cassiopeia,Corki,Alistar","Duke (Lee Ho-seong),Watch,Ggoong,Ohq,Pure","MaRin,T0M,Faker,Bang,Wolf (Lee Jae-wan)",0,0,0,0.0,Regular Season,Korea,Battlemage,Diver,Battlemage,Artillery,Vanguard,Vanguard,Vanguard,Burst,Glasscannon,Vanguard,"Azir,Gragas,Kalista,LeBlanc,Nautilus,Varus",Rumble,Rek'Sai,Cassiopeia,Corki,Alistar,Maokai,Sejuani,Ahri,Vayne,Nunu,MaRin,T0M,Faker,Bang,Wolf (Lee Jae-wan),Duke (Lee Ho-seong),Watch,Ggoong,Ohq,Pure
2015-05-29 09:00:00,"Korea,Champions 2015 Summer",Win,Blue,NaJin e-mFire,29:54,Varus,Lulu,5,1,5,10.0,"Heal,Flash",276,+46,"Youmuu's Ghostblade,Last Whisper,Muramana,B.F. Sword,Ionian Boots of Lucidity,Doran's Blade Sweeping Lens   ",2015-05-29 09:00:00,15,2015-05-29 09:00:00,SK Telecom T1,NaJin e-mFire,SK Telecom T1,"Kalista,Gragas,LeBlanc","Azir,Cassiopeia,Alistar","Nunu,Sejuani,Varus,Lucian,Janna","Gnar,Rek'Sai,Lulu,Jinx,Thresh","MaRin,T0M,Faker,Bang,Wolf (Lee Jae-wan)","Duke (Lee Ho-seong),Watch,Ggoong,Ohq,Pure",1,1,0,1.0,Regular Season,Korea,Vanguard,Vanguard,Artillery,Nimble,Enchanter,Vanguard,Diver,Enchanter,Glasscannon,Catcher,"Alistar,Azir,Cassiopeia,Gragas,Kalista,LeBlanc",Nunu,Sejuani,Varus,Lucian,Janna,Gnar,Rek'Sai,Lulu,Jinx,Thresh,MaRin,T0M,Faker,Bang,Wolf (Lee Jae-wan),Duke (Lee Ho-seong),Watch,Ggoong,Ohq,Pure
2015-06-03 08:00:00,"Korea,Champions 2015 Summer",Win,Blue,KOO Tigers,34:34,Irelia,Azir,4,1,6,10.0,"Ignite,Flash",290,-16,"Trinity Force (0.9.25.21 - 10.22),Blade of the Ruined King,Frozen Heart,Mercury's Treads,Ruby Crystal,Vision Ward Sweeping Lens ",2015-06-03 08:00:00,15,2015-06-03 08:00:00,SK Telecom T1,KOO Tigers,SK Telecom T1,"Lulu,Viktor,Maokai","Kalista,LeBlanc,Varus","Rumble,Evelynn,Irelia,Corki,Alistar","Hecarim,Gragas,Azir,Sivir,Janna","MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan)","Smeb,Wisdom,Kuro,PraY,GorillA",2,2,0,1.0,Regular Season,Korea,Battlemage,Assassin,Diver,Artillery,Vanguard,Diver,Vanguard,Battlemage,Nimble,Enchanter,"Kalista,LeBlanc,Lulu,Maokai,Varus,Viktor",Rumble,Evelynn,Irelia,Corki,Alistar,Hecarim,Gragas,Azir,Sivir,Janna,MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan),Smeb,Wisdom,Kuro,PraY,GorillA
2015-06-03 09:00:00,"Korea,Champions 2015 Summer",Win,Red,KOO Tigers,33:12,Kog'Maw,Azir,5,3,10,5.0,"Heal,Flash",309,+35,"Luden's Echo,Seraph's Embrace,Morellonomicon,Void Staff,Sorcerer's Shoes,Doran's Ring Sweeping Lens ",2015-06-03 09:00:00,15,2015-06-03 09:00:00,KOO Tigers,SK Telecom T1,SK Telecom T1,"Alistar,LeBlanc,Rumble","Viktor,Lulu,Kalista","Rek'Sai,Evelynn,Azir,Sivir,Nautilus","Maokai,Gragas,Kog'Maw,Vayne,Janna","Smeb,Hojin,Kuro,PraY,GorillA","MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan)",3,3,0,1.0,Regular Season,Korea,Vanguard,Vanguard,Glasscannon,Glasscannon,Enchanter,Diver,Assassin,Battlemage,Nimble,Vanguard,"Alistar,Kalista,LeBlanc,Lulu,Rumble,Viktor",Maokai,Gragas,Kog'Maw,Vayne,Janna,Rek'Sai,Evelynn,Azir,Sivir,Nautilus,MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan),Smeb,Hojin,Kuro,PraY,GorillA
2015-06-07 02:00:00,"Korea,Champions 2015 Summer",Win,Blue,Samsung Galaxy,24:56,Viktor,Cassiopeia,9,1,4,13.0,"Ghost,Flash",235,+73,"Perfect Hex Core,Doran's Ring,Sorcerer's Shoes - Homeguard,Luden's Echo,Morellonomicon, Sweeping Lens   ",2015-06-07 02:00:00,15,2015-06-07 02:00:00,SK Telecom T1,Samsung Galaxy,SK Telecom T1,"Fizz,Sivir,LeBlanc","Kalista,Alistar,Gragas","Maokai,Rek'Sai,Viktor,Ezreal,Thresh","Hecarim,Nidalee,Cassiopeia,Corki,Nautilus","MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan)","CuVee,Eve,Crown,Fury (Lee Jin-yong),Wraith",4,4,0,1.0,Regular Season,Korea,Vanguard,Diver,Battlemage,Nimble,Catcher,Diver,Artillery,Battlemage,Artillery,Vanguard,"Alistar,Fizz,Gragas,Kalista,LeBlanc,Sivir",Maokai,Rek'Sai,Viktor,Ezreal,Thresh,Hecarim,Nidalee,Cassiopeia,Corki,Nautilus,MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan),CuVee,Eve,Crown,Fury (Lee Jin-yong),Wraith
2015-06-10 10:00:00,"Korea,Champions 2015 Summer",Win,Blue,Anarchy,40:26,Viktor,Ahri,10,1,2,12.0,"Barrier,Flash",353,+10,"Rabadon's Deathcap,Perfect Hex Core,Lich Bane,Morellonomicon,Void Staff,Sorcerer's Shoes Sweeping Lens  ",2015-06-10 10:00:00,15,2015-06-10 10:00:00,SK Telecom T1,Anarchy,SK Telecom T1,"Gragas,LeBlanc,Evelynn","Ryze,Azir,Cassiopeia","Gnar,Rek'Sai,Viktor,Kalista,Thresh","Rumble,Lee Sin,Ahri,Lucian,Alistar","MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan)","ikssu,lira,Mickey (Son Young-min),Sangyoon,SnowFlower",5,5,0,1.0,Regular Season,Korea,Vanguard,Diver,Battlemage,Nimble,Catcher,Battlemage,Diver,Burst,Nimble,Vanguard,"Azir,Cassiopeia,Evelynn,Gragas,LeBlanc,Ryze",Gnar,Rek'Sai,Viktor,Kalista,Thresh,Rumble,Lee Sin,Ahri,Lucian,Alistar,MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan),ikssu,lira,Mickey (Son Young-min),Sangyoon,SnowFlower
2015-06-10 11:00:00,"Korea,Champions 2015 Summer",Loss,Red,Anarchy,38:08,Orianna,Viktor,3,4,3,1.5,"Heal,Flash",294,+2,"Rabadon's Deathcap,Luden's Echo,Athene's Unholy Grail,Sorcerer's Shoes,Doran's Ring, Sweeping Lens  ",2015-06-10 11:00:00,15,2015-06-10 11:00:00,Anarchy,SK Telecom T1,Anarchy,"Gnar,Azir,Cassiopeia","Ryze,Kalista,LeBlanc","Hecarim,Gragas,Viktor,Vayne,Thresh","Rumble,Rek'Sai,Orianna,Sivir,Alistar","ikssu,lira,Mickey (Son Young-min),Sangyoon,SnowFlower","MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan)",6,6,0,1.0,Regular Season,Korea,Battlemage,Diver,Burst,Nimble,Vanguard,Diver,Vanguard,Battlemage,Glasscannon,Catcher,"Azir,Cassiopeia,Gnar,Kalista,LeBlanc,Ryze",Rumble,Rek'Sai,Orianna,Sivir,Alistar,Hecarim,Gragas,Viktor,Vayne,Thresh,MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan),ikssu,lira,Mickey (Son Young-min),Sangyoon,SnowFlower
2015-06-10 12:00:00,"Korea,Champions 2015 Summer",Win,Blue,Anarchy,30:41,Ahri,Viktor,4,1,5,9.0,"Ignite,Flash",280,+45,"Rabadon's Deathcap,Luden's Echo,Morellonomicon,Sorcerer's Shoes - Homeguard,Doran's Ring,Doran's Ring Sweeping Lens ",2015-06-10 12:00:00,15,2015-06-10 12:00:00,SK Telecom T1,Anarchy,SK Telecom T1,"Thresh,LeBlanc,Gragas","Ryze,Azir,Cassiopeia","Rumble,Nunu,Ahri,Kalista,Alistar","Gnar,Rek'Sai,Viktor,Vayne,Janna","MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan)","ikssu,lira,Mickey (Son Young-min),Sangyoon,SnowFlower",7,6,1,0.8571,Regular Season,Korea,Battlemage,Vanguard,Burst,Nimble,Vanguard,Vanguard,Diver,Battlemage,Glasscannon,Enchanter,"Azir,Cassiopeia,Gragas,LeBlanc,Ryze,Thresh",Rumble,Nunu,Ahri,Kalista,Alistar,Gnar,Rek'Sai,Viktor,Vayne,Janna,MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan),ikssu,lira,Mickey (Son Young-min),Sangyoon,SnowFlower
2015-06-12 08:00:00,"Korea,Champions 2015 Summer",Win,Red,CJ Entus,38:52,Viktor,Azir,13,1,6,19.0,"Heal,Flash",395,+62,"Perfect Hex Core,Void Staff,Morellonomicon,Sorcerer's Shoes,Lich Bane,Rabadon's Deathcap Sweeping Lens  ",2015-06-12 08:00:00,15,2015-06-12 08:00:00,CJ Entus,SK Telecom T1,SK Telecom T1,"Rumble,LeBlanc,Rek'Sai","Kalista,Ryze,Gragas","Maokai,Sejuani,Azir,Sivir,Alistar","Gnar,Evelynn,Viktor,Vayne,Janna","Shy,Ambition,Coco,Space,MadLife","MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan)",8,7,1,0.875,Regular Season,Korea,Vanguard,Assassin,Battlemage,Glasscannon,Enchanter,Vanguard,Vanguard,Battlemage,Nimble,Vanguard,"Gragas,Kalista,LeBlanc,Rek'Sai,Rumble,Ryze",Gnar,Evelynn,Viktor,Vayne,Janna,Maokai,Sejuani,Azir,Sivir,Alistar,MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan),Shy,Ambition,Coco,Space,MadLife
2015-06-12 09:00:00,"Korea,Champions 2015 Summer",Win,Blue,CJ Entus,27:42,Master Yi,Urgot,7,3,5,4.0,"Ignite,Flash",251,+103,"Blade of the Ruined King,Youmuu's Ghostblade,Ninja Tabi,The Black Cleaver,Vision Ward, Greater Stealth Totem    ",2015-06-12 09:00:00,15,2015-06-12 09:00:00,SK Telecom T1,CJ Entus,SK Telecom T1,"LeBlanc,Gragas,Maokai","Viktor,Ryze,Gnar","Morgana,Rek'Sai,Master Yi,Kalista,Annie","Rumble,Nidalee,Urgot,Sivir,Alistar","MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan)","Shy,Ambition,Coco,Space,MadLife",9,8,1,0.8889,Regular Season,Korea,Catcher,Diver,Skirmisher,Nimble,Burst,Battlemage,Artillery,Juggernaut,Nimble,Vanguard,"Gnar,Gragas,LeBlanc,Maokai,Ryze,Viktor",Morgana,Rek'Sai,Master Yi,Kalista,Annie,Rumble,Nidalee,Urgot,Sivir,Alistar,MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan),Shy,Ambition,Coco,Space,MadLife
2015-06-24 10:00:00,"Korea,Champions 2015 Summer",Win,Red,KT Rolster,39:33,Orianna,Viktor,8,3,9,5.67,"Ignite,Flash",317,-26,"Rabadon's Deathcap,Zhonya's Hourglass,Athene's Unholy Grail,Void Staff,Needlessly Large Rod,Sorcerer's Shoes Sweeping Lens  ",2015-06-24 10:00:00,15,2015-06-24 10:00:00,KT Rolster,SK Telecom T1,SK Telecom T1,"Annie,Ekko,Alistar","Ryze,Kalista,Gragas","Maokai,Rek'Sai,Viktor,Vayne,Janna","Rumble,Evelynn,Orianna,Sivir,Nautilus","Ssumday,Score,Nagne,Arrow,Fixer","MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan)",10,9,1,0.9,Regular Season,Korea,Battlemage,Assassin,Burst,Nimble,Vanguard,Vanguard,Diver,Battlemage,Glasscannon,Enchanter,"Alistar,Annie,Ekko,Gragas,Kalista,Ryze",Rumble,Evelynn,Orianna,Sivir,Nautilus,Maokai,Rek'Sai,Viktor,Vayne,Janna,MaRin,Bengi,Faker,Bang,Wolf (Lee Jae-wan),Ssumday,Score,Nagne,Arrow,Fixer
